id,name,company_id,create_date,display_name,date,title,parent_id,ref,lang,tz,user_id,vat,website,comment,credit_limit,active,employee,function,type,street,street2,zip,city,state_id,country_id,partner_latitude,partner_longitude,email,phone,mobile,is_company,industry_id,color,partner_share,commercial_partner_id,commercial_company_name,company_name,create_uid,write_uid,write_date,message_main_attachment_id,email_normalized,message_bounce,contact_address_complete,signup_token,signup_type,signup_expiration,ocn_token,partner_gid,additional_info,phone_sanitized,debit_limit,last_time_entries_checked,invoice_warn,invoice_warn_msg,supplier_rank,customer_rank,online_partner_information,l10n_eg_building_no,team_id,sale_warn,sale_warn_msg,cartona_partner_id,cartona_partner_type,picking_warn,picking_warn_msg,purchase_warn,purchase_warn_msg,calendar_last_notif_ack,plan_to_change_car,plan_to_change_bike
286369,انجاز,,2025-06-23 09:49:03.957399,انجاز,,,,,en_US,,,,,,,true,,,contact,00,"1 /مدينه ابوحمص شارع المحكمه/البحيرة, ابوحمص, صيدليه عصر الاسلام","",00,273,65,,,info@cartona.com,+201068412392,+201068412392,false,,0,true,286369,,,2,2,2025-06-23 09:53:55.687024,,info@cartona.com,0,"00, 00, Alexandria, Egypt",,,,,,,+201068412392,,,no-message,,0,0,,00,,no-message,,retailer-275751,retailer,no-message,,no-message,,2025-06-23 09:49:04.000000,false,false
286368,ألبان خطاب,,2025-06-23 09:46:35.390876,ألبان خطاب,,,,,en_US,,,,,,,true,,,contact,الفلكي,"... / الشارع الرئيسي / الزوايدة, الفلكي, شركة الكهرباء","",الإسكندرية,273,65,,,info@cartona.com,+201068043499,+201068043499,false,,0,true,286368,,,2,2,2025-06-23 09:46:35.390876,,info@cartona.com,0,"الفلكي, الإسكندرية, Alexandria, Egypt",,,,,,,+201068043499,,,no-message,,0,0,,00,,no-message,,retailer-275750,retailer,no-message,,no-message,,2025-06-23 09:46:35.000000,false,false
286367,عبدالله كمال ,,2025-06-23 09:28:31.979985,عبدالله كمال ,,,,,en_US,,,,,,,true,,,contact,سموحة,"11 / فاروس / سموحه , سموحة, بلازا","",الإسكندرية,273,65,,,info@cartona.com,+201270700169,+201270700169,false,,0,true,286367,,,2,2,2025-06-23 09:28:31.979985,,info@cartona.com,0,"سموحة, الإسكندرية, Alexandria, Egypt",,,,,,,+201270700169,,,no-message,,0,0,,00,,no-message,,retailer-275749,retailer,no-message,,no-message,,2025-06-23 09:28:32.000000,false,false
286366,باسط,,2025-06-23 09:22:36.626468,باسط,,,,,en_US,,,,,,,true,,,contact,السنبلاوين,"8 / 8 / البستان , السنبلاوين, السنبلاوين ","",المنصورة,268,65,,,info@cartona.com,+201050042520,+201050042520,false,,0,true,286366,,,2,2,2025-06-23 09:22:36.626468,,info@cartona.com,0,"السنبلاوين, المنصورة, Dakahlia, Egypt",,,,,,,+201050042520,,,no-message,,0,0,,00,,no-message,,retailer-275748,retailer,no-message,,no-message,,2025-06-23 09:22:36.000000,false,false
286365,ناجز للتجاره العامه ,,2025-06-23 09:14:51.103101,ناجز للتجاره العامه ,,,,,en_US,,,,,,,true,,,contact,ابو تلات و سيدي كرير,"7/2 / خلف بنزينة موبيل امام شركة جهينه  / الكيلو 22 خلف بنزينة موبيل , ابو تلات و سيدي كرير, بنزينة موبيل ","",الإسكندرية,273,65,,,info@cartona.com,+201228324891,+201228324891,false,,0,true,286365,,,2,2,2025-06-23 09:14:51.103101,,info@cartona.com,0,"ابو تلات و سيدي كرير, الإسكندرية, Alexandria, Egypt",,,,,,,+201228324891,,,no-message,,0,0,,00,,no-message,,retailer-275747,retailer,no-message,,no-message,,2025-06-23 09:14:51.000000,false,false
286364,الدكتور لتجارة الجملة,,2025-06-23 08:37:20.942999,الدكتور لتجارة الجملة,,,,,en_US,,,,,,,true,,,contact,00,"١٥ / يورسعيد / البحيرة مركز ايتاي البارود الغرب, ايتاي البارود الغرب شارع بور سعيد بجوار المطافي , بجوار المطافي","",00,273,65,,,info@cartona.com,+201006870339,+201006870339,false,,0,true,286364,,,2,2,2025-06-23 08:37:20.942999,,info@cartona.com,0,"00, 00, Alexandria, Egypt",,,,,,,+201006870339,,,no-message,,0,0,,00,,no-message,,retailer-275746,retailer,no-message,,no-message,,2025-06-23 08:37:20.000000,false,false
286363,ملك البهاريز ,,2025-06-23 08:18:32.798314,ملك البهاريز ,,,,,en_US,,,,,,,true,,,contact,مدينة نصر‎‎‎‎,"٧ / محمود صالح ابوزيد / مدينه نصر , مدينة نصر‎‎‎‎, محور شينزوا ابي ","",القاهرة,278,65,,,info@cartona.com,+201015818323,+201015818323,false,,0,true,286363,,,2,2,2025-06-23 08:18:32.798314,,info@cartona.com,0,"مدينة نصر‎‎‎‎, القاهرة, Cairo, Egypt",,,,,,,+201015818323,,,no-message,,0,0,,00,,no-message,,retailer-275745,retailer,no-message,,no-message,,2025-06-23 08:18:32.000000,false,false
286362,حلو وحادق,,2025-06-23 07:55:44.761728,حلو وحادق,,,,,en_US,,,,,,,true,,,contact,الزقازيق1‎,"٢ / الجمعيه الشرعيه الجديده / حى مبارك الزقازيق, الزقازيق1‎, سوق الجمله","",الزقازيق,282,65,,,info@cartona.com,+201289874039,+201289874039,false,,0,true,286362,,,2,2,2025-06-23 07:55:44.761728,,info@cartona.com,0,"الزقازيق1‎, الزقازيق, Al Sharqia, Egypt",,,,,,,+201289874039,,,no-message,,0,0,,00,,no-message,,retailer-275744,retailer,no-message,,no-message,,2025-06-23 07:55:44.000000,false,false
286361,لقمة عيش,,2025-06-23 07:41:31.453950,لقمة عيش,,,,,en_US,,,,,,,true,,,contact,التجمع و الرحاب,"مول كافيه دهب  / خلف احمد عكاشة / البنفسج ١ التجمع الاول , التجمع و الرحاب, ","",القاهرة,278,65,,,info@cartona.com,+201007808666,+201007808666,false,,0,true,286361,,,2,2,2025-06-23 07:41:31.453950,,info@cartona.com,0,"التجمع و الرحاب, القاهرة, Cairo, Egypt",,,,,,,+201007808666,,,no-message,,0,0,,00,,no-message,,retailer-275743,retailer,no-message,,no-message,,2025-06-23 07:41:31.000000,false,false
286360,المحروسه 2 ,,2025-06-23 07:39:31.338706,المحروسه 2 ,,,,,en_US,,,,,,,true,,,contact,الرأس السوداء,"2 / امام شارع القاهره  / سيدي بشر - قبلي , الرأس السوداء, ","",الإسكندرية,273,65,,,info@cartona.com,+201210083777,+201210083777,false,,0,true,286360,,,2,2,2025-06-23 07:44:47.456379,,info@cartona.com,0,"الرأس السوداء, الإسكندرية, Alexandria, Egypt",,,,,,,+201210083777,,,no-message,,0,0,,00,,no-message,,retailer-275742,retailer,no-message,,no-message,,2025-06-23 07:39:31.000000,false,false
