id,order_id,name,sequence,invoice_status,price_unit,price_subtotal,price_tax,price_total,price_reduce,price_reduce_taxinc,price_reduce_taxexcl,discount,product_id,product_uom_qty,product_uom,qty_delivered_method,qty_delivered,qty_delivered_manual,qty_to_invoice,qty_invoiced,untaxed_amount_invoiced,untaxed_amount_to_invoice,salesman_id,currency_id,company_id,order_partner_id,is_expense,is_downpayment,state,customer_lead,display_type,product_packaging_id,product_packaging_qty,create_uid,create_date,write_uid,write_date,route_id,is_service,project_id,task_id,cartona_uom,uom_count
2364458,2441430,order_fees,10,to invoice,61.22,61.22,8.5708,69.79,61.22,69.79,61.22,0,46,1,1,manual,0,0,1,0,0,61.22,2,74,1,115225,,,sale,0,,,,2,2025-06-23 10:04:51.803049,2,2025-06-23 10:04:51.803049,,true,,,,
2364457,2441429,penalty,10,to invoice,5.06,5.06,0.7084,5.77,5.06,5.77,5.06,0,47,1,1,manual,0,0,1,0,0,5.06,2,74,1,3475,,,sale,0,,,,2,2025-06-23 10:03:15.098333,2,2025-06-23 10:03:15.098333,,true,,,,
2364456,2441428,penalty,10,to invoice,7.24,7.24,1.0136,8.25,7.24,8.25,7.24,0,47,1,1,manual,0,0,1,0,0,7.24,2,74,1,3475,,,sale,0,,,,2,2025-06-23 10:02:59.523274,2,2025-06-23 10:02:59.523274,,true,,,,
2364455,2441427,penalty,10,to invoice,9.13,9.13,1.2782,10.41,9.13,10.41,9.13,0,47,1,1,manual,0,0,1,0,0,9.13,2,74,1,194059,,,sale,0,,,,2,2025-06-23 10:02:41.458508,2,2025-06-23 10:02:41.458508,,true,,,,
2364454,2441426,order_fees,10,to invoice,79.25,79.25,11.095,90.35,79.25,90.35,79.25,0,46,1,1,manual,0,0,1,0,0,79.25,2,74,1,129580,,,sale,0,,,,2,2025-06-23 10:02:40.374836,2,2025-06-23 10:02:40.374836,,true,,,,
2364453,2441425,order_fees,10,to invoice,91.25,91.25,12.775,104.03,91.25,104.03,91.25,0,46,1,1,manual,0,0,1,0,0,91.25,2,74,1,194059,,,sale,0,,,,2,2025-06-23 10:02:39.268572,2,2025-06-23 10:02:39.268572,,true,,,,
2364452,2441424,order_fees,10,to invoice,101.4,101.4,14.196000000000002,115.6,101.4,115.6,101.4,0,46,1,1,manual,0,0,1,0,0,101.4,2,74,1,5314,,,sale,0,,,,2,2025-06-23 10:02:20.558737,2,2025-06-23 10:02:20.558737,,true,,,,
2364451,2441423,order_fees,10,to invoice,304.76,304.76,42.6664,347.43,304.76,347.43,304.76,0,46,1,1,manual,0,0,1,0,0,304.76,2,74,1,129580,,,sale,0,,,,2,2025-06-23 10:02:17.928631,2,2025-06-23 10:02:17.928631,,true,,,,
2364450,2441422,penalty,10,to invoice,5.06,5.06,0.7084,5.77,5.06,5.77,5.06,0,47,1,1,manual,0,0,1,0,0,5.06,2,74,1,3475,,,sale,0,,,,2,2025-06-23 10:01:58.743708,2,2025-06-23 10:01:58.743708,,true,,,,
2364449,2441421,order_fees,10,to invoice,59.79,59.79,8.370600000000001,68.16,59.79,68.16,59.79,0,46,1,1,manual,0,0,1,0,0,59.79,2,74,1,129580,,,sale,0,,,,2,2025-06-23 10:01:57.388780,2,2025-06-23 10:01:57.388780,,true,,,,
